,Time_Ensemble,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,2001-Jan,1.6054216218020017,2.1139336218020013,1.1247056218020015,1.9264566218020018,1.6467636218020019,2.580698621802002,2.0647676218020017,1.4079076218020017,0.44990662180200136,0.9081616218020017,1.7521726218020017,1.6214336218020016,1.7580086218020021,1.4699826218020018,1.587035621802002,1.7494756218020013,1.064108621802002,2.3037366218020017,1.8902716218020021,1.4786306218020018,1.3290906218020018,2.5088736218020014,1.2307446218020015,1.0430536218020015,1.7039946218020017,1.6288866218020015,1.9838796218020018,1.713108621802002
1,2001-Feb,1.7272254905450501,2.57376249054505,1.2360114905450499,1.2753044905450497,1.5417624905450498,2.67522149054505,2.42536749054505,1.8252984905450504,1.0167744905450502,1.3187204905450503,1.7169224905450498,1.5856104905450503,1.9805394905450497,1.6953284905450503,1.6821874905450502,2.01744049054505,1.1353694905450502,1.73289949054505,1.8522034905450497,1.1115484905450503,2.19509049054505,1.90695249054505,1.5153774905450503,1.2499264905450498,2.58931949054505,1.8441004905450504,2.3909614905450502,1.0908644905450502
2,2001-Mar,2.1380737497219133,2.499280749721913,1.0432747497219133,1.5147437497219132,1.9784617497219132,2.770738749721913,2.0542807497219133,1.821511749721913,1.4403657497219133,1.0518947497219133,1.657946749721913,1.714741749721913,2.500238749721913,1.699275749721913,2.0091497497219133,1.7728357497219132,1.4951007497219133,1.4883797497219131,1.6254067497219133,1.0251907497219133,2.102948749721913,1.729321749721913,1.5070167497219131,1.9613217497219133,2.254649749721913,2.1255397497219133,2.217663749721913,1.464868749721913
3,2001-Apr,1.4044711657397106,2.161959165739711,0.9211451657397107,1.8135461657397107,2.4745041657397104,2.3190091657397107,1.8386561657397107,2.168787165739711,1.6428941657397107,1.0347311657397107,1.6605091657397106,1.6535211657397106,2.6279331657397105,2.049830165739711,1.7431911657397108,1.5890911657397107,1.8471631657397107,1.5830561657397106,1.9977171657397106,1.0129281657397107,2.0821461657397107,1.2092281657397106,1.6678841657397108,1.6130311657397107,2.622135165739711,1.5213011657397106,2.040235165739711,1.4006901657397106
4,2001-May,1.3592738876529475,1.9899078876529477,0.9474448876529475,1.7056238876529477,2.4294568876529476,2.4957698876529477,1.5144998876529479,2.2830588876529476,1.2696378876529475,1.0909368876529477,1.8222808876529477,1.1334548876529476,1.7950178876529477,1.7226948876529478,1.5901308876529476,2.123420887652948,1.9480978876529478,1.380991887652948,1.9746038876529477,1.1935978876529476,2.0617738876529477,1.2819778876529475,1.9844188876529476,1.5779858876529478,2.215283887652948,1.8912988876529477,2.4306618876529478,0.9107808876529475
5,2001-Jun,1.6125716073414904,3.0573056073414904,0.9715116073414904,2.47439360734149,2.5825886073414903,2.4214526073414904,1.8760506073414902,1.7487766073414903,1.4623906073414905,0.9823156073414903,1.7139296073414902,0.5160686073414902,1.7329426073414904,2.0306466073414904,1.7170346073414904,2.5722756073414903,2.0031836073414904,1.7899096073414902,1.7208106073414902,1.6788786073414905,2.3933056073414902,1.3997706073414902,2.3511376073414905,1.4868126073414905,2.5342046073414903,2.3639086073414903,2.3985226073414903,1.2169936073414904
6,2001-Jul,1.2198927897664071,3.183775789766407,0.7564717897664073,2.190975789766407,2.221585789766407,2.0694607897664072,2.440208789766407,1.8098017897664072,1.731521789766407,1.4231237897664073,1.676884789766407,0.4432117897664072,1.6915467897664072,1.761843789766407,1.493516789766407,2.1427767897664074,1.9525507897664072,1.368888789766407,1.2879947897664072,1.405825789766407,1.954363789766407,1.163465789766407,2.481846789766407,1.0951027897664072,2.4769307897664072,1.9209907897664071,2.181908789766407,1.076191789766407
7,2001-Aug,1.2437931423804227,2.6441611423804225,0.8720741423804228,1.9581801423804226,1.7885241423804228,2.043783142380423,2.169056142380423,1.7316001423804228,1.5272331423804228,1.5485861423804228,1.5713721423804228,0.8137791423804226,1.7286071423804228,1.0463181423804226,1.4706701423804227,1.6948271423804226,2.4128881423804227,1.2985111423804228,1.4860661423804227,0.9971771423804228,1.9513461423804226,0.9841111423804227,2.4301621423804227,0.9954841423804226,2.1549261423804227,1.8480831423804227,2.2421251423804227,1.2853631423804228
8,2001-Sep,1.2312757964404895,2.878460796440489,1.0863037964404894,1.4858667964404895,2.0390757964404895,2.0232977964404895,1.9769607964404896,1.7126357964404895,1.1411937964404895,0.9506237964404894,2.1018777964404896,0.7013617964404895,2.2628437964404897,1.1969587964404895,1.4973367964404893,2.4858137964404894,2.0038877964404893,1.5501427964404895,1.7114887964404895,0.9591987964404894,1.6435237964404894,1.4640547964404895,2.131555796440489,1.6821467964404895,2.1715347964404894,2.3722157964404893,2.6493807964404894,1.0679947964404894
9,2001-Oct,1.4749678398220245,2.9810418398220246,0.9955048398220244,1.4381258398220245,1.9933918398220245,2.1379398398220246,1.6690788398220244,2.0069568398220246,1.0897998398220243,1.1606378398220245,2.2426958398220247,1.1974248398220244,2.2669078398220246,1.2002828398220244,1.2177688398220243,2.6127178398220248,1.6762358398220245,1.6119588398220244,1.8880458398220243,1.3156338398220244,1.6311938398220245,1.2032758398220245,2.0137248398220247,2.0850438398220246,2.4359998398220246,2.1861048398220246,2.8952718398220245,0.8061408398220246
10,2001-Nov,1.7466113503893217,1.9653413503893211,0.8318663503893213,1.5011253503893216,1.7413913503893217,2.3039173503893218,1.6331303503893215,1.5933813503893215,1.6429033503893216,1.2245513503893215,1.7007553503893216,1.9632413503893216,2.006357350389322,1.8933873503893217,1.0379083503893214,1.9713163503893214,1.4652793503893213,1.8076563503893217,2.074073350389322,0.9751543503893214,1.9736313503893217,1.4486053503893217,1.5944513503893214,1.7037403503893214,2.329781350389321,2.222578350389322,2.528228350389322,0.7017883503893216
11,2001-Dec,1.8206665094549503,1.7433485094549503,1.1067085094549496,1.61832650945495,2.1309235094549503,2.5208555094549503,1.63402750945495,1.91129450945495,0.9477065094549495,1.4088695094549495,1.5356865094549503,2.0135795094549502,2.6030295094549496,1.4665285094549496,1.28572250945495,1.88705850945495,1.7284665094549503,1.2296385094549498,2.02807750945495,0.7572585094549495,1.6013705094549495,1.5401675094549496,1.9826345094549502,1.78841650945495,1.7934135094549495,2.19321850945495,1.7437985094549502,1.2845185094549496
12,2002-Jan,2.0784276218020015,1.5491486218020016,1.5556656218020013,1.1626336218020015,1.6303546218020015,2.6391666218020013,2.4908526218020013,2.113296621802002,1.0262816218020019,1.1040996218020016,2.1799866218020014,1.2307556218020013,2.6414796218020014,1.5704616218020018,1.601897621802002,1.5943846218020017,1.5865466218020021,1.297232621802002,1.9385586218020014,1.0548866218020017,1.7306446218020017,1.2645096218020013,1.2994066218020013,1.7213846218020015,1.9073176218020018,2.0665206218020016,1.6420486218020018,1.2093136218020017
13,2002-Feb,2.09476549054505,1.6232084905450503,1.4269294905450498,1.4437544905450497,1.9600724905450497,2.7215274905450504,2.1348374905450505,2.3982184905450503,1.0221654905450497,0.9961884905450504,1.9635084905450504,1.82091749054505,2.93390849054505,2.2618514905450504,1.4477074905450498,1.7004084905450498,2.00745649054505,1.4658134905450502,2.33009149054505,0.6993384905450504,2.09305449054505,1.20597549054505,1.5761764905450497,1.8193384905450505,2.02326549054505,1.8675454905450501,2.4439764905450505,1.3096304905450498
14,2002-Mar,1.7955867497219131,1.496661749721913,1.281161749721913,1.9298557497219133,2.347944749721913,2.392328749721913,1.711939749721913,2.530021749721913,1.596489749721913,1.3744977497219133,2.016209749721913,1.550405749721913,2.676833749721913,2.3137957497219133,1.6723707497219134,1.2984207497219131,2.041272749721913,1.706455749721913,1.708126749721913,0.7975127497219132,2.119638749721913,1.0100667497219131,1.6857267497219133,2.268660749721913,1.9590337497219132,1.7491867497219133,1.9895757497219133,1.576235749721913
15,2002-Apr,2.050614165739711,1.4528941657397108,1.4346331657397107,1.9354551657397105,2.413132165739711,2.0944101657397107,1.8724351657397107,2.465878165739711,1.5307711657397107,1.6368941657397107,1.7984101657397107,1.1476591657397106,3.015574165739711,2.4979341657397107,1.8060891657397107,1.4956961657397108,1.9368731657397107,1.9179881657397106,2.0723351657397107,0.8708691657397106,2.2000171657397107,1.4641681657397108,1.6446271657397107,2.267156165739711,1.2575821657397106,1.8786561657397107,1.8413111657397105,1.8310031657397108
16,2002-May,1.5732068876529477,1.8457758876529478,1.0978598876529477,1.8602878876529476,2.073502887652948,2.3037808876529478,1.9049428876529477,2.5312998876529478,1.4395418876529478,1.5009578876529477,1.8516328876529478,1.4487738876529477,2.651041887652948,1.8167248876529476,1.9248908876529476,1.2077338876529478,1.7608708876529477,1.9868688876529477,2.017196887652948,0.9517468876529476,2.421654887652948,1.5582738876529476,1.8900748876529476,2.133707887652948,1.3717438876529475,1.9647778876529476,2.0231878876529477,1.5071938876529476
17,2002-Jun,1.6780486073414904,2.0139456073414905,1.2372016073414902,1.9279476073414905,1.8326126073414901,2.7621686073414904,2.08059260734149,3.0731666073414905,1.5736616073414904,1.7830206073414905,1.6137416073414905,1.1833396073414901,2.38640160734149,2.03723760734149,1.3060616073414901,0.8110326073414904,2.4535976073414902,1.5009056073414904,2.4865136073414904,0.8079786073414903,2.0333976073414903,1.2576146073414902,1.7357776073414906,1.9085056073414903,1.3646696073414901,1.6838486073414902,1.8523316073414904,1.5840246073414903
18,2002-Jul,1.963661789766407,2.023616789766407,1.494909789766407,1.7457147897664071,1.4169527897664072,2.264151789766407,2.721211789766407,2.549290789766407,1.419171789766407,1.560412789766407,1.140982789766407,1.0421497897664072,2.3892427897664072,2.0973587897664068,1.790185789766407,0.529201789766407,2.037402789766407,1.2080967897664072,2.393489789766407,0.8487687897664071,1.6136597897664071,1.528769789766407,1.613943789766407,1.4643137897664071,1.439352789766407,1.689340789766407,1.891846789766407,1.551865789766407
