,Time_Obs,Obs
324,1907-Jan,
325,1907-Feb,
326,1907-Mar,
327,1907-Apr,
328,1907-May,
329,1907-Jun,
330,1907-Jul,
331,1907-Aug,
332,1907-Sep,
333,1907-Oct,
334,1907-Nov,
335,1907-Dec,
336,1908-Jan,
337,1908-Feb,
338,1908-Mar,
339,1908-Apr,
340,1908-May,
341,1908-Jun,
342,1908-Jul,
343,1908-Aug,
344,1908-Sep,
345,1908-Oct,
346,1908-Nov,
347,1908-Dec,
348,1909-Jan,
349,1909-Feb,
350,1909-Mar,
351,1909-Apr,
352,1909-May,
353,1909-Jun,
354,1909-Jul,
355,1909-Aug,
356,1909-Sep,
357,1909-Oct,
358,1909-Nov,
359,1909-Dec,
360,1910-Jan,
361,1910-Feb,
362,1910-Mar,
363,1910-Apr,
364,1910-May,
365,1910-Jun,
366,1910-Jul,
367,1910-Aug,
368,1910-Sep,
369,1910-Oct,
370,1910-Nov,
371,1910-Dec,
372,1911-Jan,
373,1911-Feb,
374,1911-Mar,
375,1911-Apr,
376,1911-May,
377,1911-Jun,
378,1911-Jul,
379,1911-Aug,
380,1911-Sep,
381,1911-Oct,
382,1911-Nov,
383,1911-Dec,
384,1912-Jan,
385,1912-Feb,
386,1912-Mar,
387,1912-Apr,
388,1912-May,
389,1912-Jun,
390,1912-Jul,
391,1912-Aug,
392,1912-Sep,
393,1912-Oct,
394,1912-Nov,
395,1912-Dec,
396,1913-Jan,
397,1913-Feb,
398,1913-Mar,
399,1913-Apr,
400,1913-May,
401,1913-Jun,
402,1913-Jul,
403,1913-Aug,
404,1913-Sep,
405,1913-Oct,
406,1913-Nov,
407,1913-Dec,
408,1914-Jan,
409,1914-Feb,
410,1914-Mar,
411,1914-Apr,
412,1914-May,
413,1914-Jun,
414,1914-Jul,
415,1914-Aug,
416,1914-Sep,
417,1914-Oct,
418,1914-Nov,
419,1914-Dec,
420,1915-Jan,
421,1915-Feb,
422,1915-Mar,
423,1915-Apr,
424,1915-May,
425,1915-Jun,
426,1915-Jul,
427,1915-Aug,
428,1915-Sep,
429,1915-Oct,
430,1915-Nov,
431,1915-Dec,
432,1916-Jan,
433,1916-Feb,
434,1916-Mar,
435,1916-Apr,
436,1916-May,
437,1916-Jun,
438,1916-Jul,
439,1916-Aug,
440,1916-Sep,
441,1916-Oct,
442,1916-Nov,
443,1916-Dec,
444,1917-Jan,
445,1917-Feb,
446,1917-Mar,
447,1917-Apr,
448,1917-May,
449,1917-Jun,
450,1917-Jul,
451,1917-Aug,
452,1917-Sep,
