,Time_Obs,Obs
0,1880-Jan,0.7335516214285716
1,1880-Feb,1.2091791000000003
2,1880-Mar,0.703665985714286
3,1880-Apr,0.9803984
4,1880-May,0.5843252071428573
5,1880-Jun,1.3369357142857141
6,1880-Jul,1.6718006642857142
7,1880-Aug,1.5869046500000001
8,1880-Sep,1.1110451642857142
9,1880-Oct,1.3159406999999999
10,1880-Nov,1.41327765
11,1880-Dec,0.24328230714285737
12,1881-Jan,1.1051916214285715
13,1881-Feb,1.2560881000000004
14,1881-Mar,1.265421985714286
15,1881-Apr,0.7134574
16,1881-May,0.26975420714285725
17,1881-Jun,0.45449871428571426
18,1881-Jul,-0.45167833571428595
19,1881-Aug,-0.6116213499999996
20,1881-Sep,0.15643416428571433
21,1881-Oct,0.6978637000000001
22,1881-Nov,0.67334765
23,1881-Dec,-0.017793692857142607
24,1882-Jan,0.0022986214285716233
25,1882-Feb,0.19366810000000023
26,1882-Mar,0.110484985714286
27,1882-Apr,0.1500374
28,1882-May,0.13418220714285722
29,1882-Jun,0.17949871428571423
30,1882-Jul,-0.27013233571428596
31,1882-Aug,-0.31254634999999986
32,1882-Sep,0.15777416428571422
33,1882-Oct,0.3437827
34,1882-Nov,0.3156686499999999
35,1882-Dec,0.5783553071428573
36,1883-Jan,0.6358876214285716
37,1883-Feb,0.43659910000000024
38,1883-Mar,0.04070198571428607
39,1883-Apr,-0.4253156
40,1883-May,-0.5049487928571429
41,1883-Jun,0.16585371428571422
42,1883-Jul,0.14884466428571397
43,1883-Aug,0.050051650000000336
44,1883-Sep,0.0017801642857140365
45,1883-Oct,0.018290700000000104
46,1883-Nov,0.16328964999999993
47,1883-Dec,-0.34356969285714256
48,1884-Jan,-0.18370237857142846
49,1884-Feb,-0.5420778999999996
50,1884-Mar,0.11036098571428599
51,1884-Apr,0.2976634
52,1884-May,0.3366802071428572
53,1884-Jun,-0.20573628571428576
54,1884-Jul,-0.749403335714286
55,1884-Aug,-0.9005263499999998
56,1884-Sep,-0.7614118357142858
57,1884-Oct,-0.058602299999999996
58,1884-Nov,-0.18448935000000008
59,1884-Dec,-0.16593469285714257
60,1885-Jan,0.8858756214285716
61,1885-Feb,0.08937910000000016
62,1885-Mar,0.11387098571428589
63,1885-Apr,0.2937124
64,1885-May,0.016793207142857258
65,1885-Jun,-0.30436728571428573
66,1885-Jul,-0.1753953357142859
67,1885-Aug,0.22088165000000037
68,1885-Sep,0.08036616428571408
69,1885-Oct,0.42283669999999995
70,1885-Nov,0.47431565
71,1885-Dec,0.2127863071428574
72,1886-Jan,0.7470856214285715
73,1886-Feb,1.4180271000000002
74,1886-Mar,1.302634985714286
75,1886-Apr,0.8859994
76,1886-May,0.9299782071428572
77,1886-Jun,1.2011247142857142
78,1886-Jul,1.0295556642857142
79,1886-Aug,0.9560476500000004
80,1886-Sep,0.593998164285714
81,1886-Oct,0.5556377000000001
82,1886-Nov,0.72749665
83,1886-Dec,0.5687443071428574
84,1887-Jan,0.8386716214285715
85,1887-Feb,0.48843210000000026
86,1887-Mar,0.9356069857142859
87,1887-Apr,1.1439683999999999
88,1887-May,1.1958452071428571
89,1887-Jun,1.0119647142857142
90,1887-Jul,0.7082276642857139
