,datetime,Obs
398,1913-03,
399,1913-04,
400,1913-05,
401,1913-06,
402,1913-07,
403,1913-08,
404,1913-09,
405,1913-10,
406,1913-11,
407,1913-12,
408,1914-01,
409,1914-02,
410,1914-03,
411,1914-04,
412,1914-05,
413,1914-06,
414,1914-07,
415,1914-08,
416,1914-09,
417,1914-10,
418,1914-11,
419,1914-12,
420,1915-01,
421,1915-02,
422,1915-03,
423,1915-04,
424,1915-05,
425,1915-06,
426,1915-07,
427,1915-08,
428,1915-09,
429,1915-10,
430,1915-11,
431,1915-12,
432,1916-01,
433,1916-02,
434,1916-03,
435,1916-04,
436,1916-05,
437,1916-06,
438,1916-07,
439,1916-08,
440,1916-09,
441,1916-10,
442,1916-11,
443,1916-12,
444,1917-01,
445,1917-02,
446,1917-03,
447,1917-04,
448,1917-05,
449,1917-06,
450,1917-07,
451,1917-08,
452,1917-09,
453,1917-10,
454,1917-11,
455,1917-12,
456,1918-01,
457,1918-02,
458,1918-03,
459,1918-04,
460,1918-05,
461,1918-06,
462,1918-07,
463,1918-08,
464,1918-09,
465,1918-10,
466,1918-11,
467,1918-12,
468,1919-01,
469,1919-02,
470,1919-03,
471,1919-04,
472,1919-05,
473,1919-06,
474,1919-07,
475,1919-08,
476,1919-09,
477,1919-10,
478,1919-11,
479,1919-12,
480,1920-01,
481,1920-02,
482,1920-03,
483,1920-04,
484,1920-05,
485,1920-06,
486,1920-07,
487,1920-08,
488,1920-09,
489,1920-10,
490,1920-11,
491,1920-12,
492,1921-01,
493,1921-02,
494,1921-03,
495,1921-04,
496,1921-05,
497,1921-06,
498,1921-07,
499,1921-08,
500,1921-09,
501,1921-10,
502,1921-11,
503,1921-12,
504,1922-01,
505,1922-02,
506,1922-03,
507,1922-04,
508,1922-05,
509,1922-06,
510,1922-07,
511,1922-08,
512,1922-09,
513,1922-10,
514,1922-11,
515,1922-12,
516,1923-01,
517,1923-02,
518,1923-03,
519,1923-04,
520,1923-05,
521,1923-06,
522,1923-07,
523,1923-08,
524,1923-09,
525,1923-10,
526,1923-11,
527,1923-12,
528,1924-01,
529,1924-02,
530,1924-03,
531,1924-04,
532,1924-05,
533,1924-06,
534,1924-07,
535,1924-08,
536,1924-09,
537,1924-10,
538,1924-11,
539,1924-12,
540,1925-01,
541,1925-02,
542,1925-03,
543,1925-04,
544,1925-05,
545,1925-06,
546,1925-07,
547,1925-08,
548,1925-09,
549,1925-10,
550,1925-11,
551,1925-12,
552,1926-01,
553,1926-02,
554,1926-03,
555,1926-04,
556,1926-05,
557,1926-06,
558,1926-07,
559,1926-08,
560,1926-09,
561,1926-10,
562,1926-11,
563,1926-12,
564,1927-01,
565,1927-02,
566,1927-03,
567,1927-04,
568,1927-05,
569,1927-06,
570,1927-07,
571,1927-08,
572,1927-09,
573,1927-10,
574,1927-11,
