,datetime,Obs
0,1950-01,0.10141262142857088
1,1950-02,-0.12402790000000019
2,1950-03,-0.4120120142857149
3,1950-04,-0.06946960000000013
4,1950-05,0.39807920714285705
5,1950-06,0.19313171428571435
6,1950-07,0.025967664285714065
7,1950-08,-0.378568350000001
8,1950-09,-0.42680583571428565
9,1950-10,-0.26817230000000036
10,1950-11,0.35482265
11,1950-12,0.16737330714285714
12,1951-01,0.3014886214285708
13,1951-02,0.4473430999999999
14,1951-03,0.30927898571428525
15,1951-04,0.2456144
16,1951-05,0.4743172071428571
17,1951-06,0.7923037142857143
18,1951-07,0.665035664285714
19,1951-08,0.1830126499999989
20,1951-09,-0.43218983571428593
21,1951-10,-0.10740630000000051
22,1951-11,-0.028741350000000027
23,1951-12,-0.5210976928571429
24,1952-01,-0.5160043785714292
25,1952-02,-0.39757790000000015
26,1952-03,0.0889559857142852
27,1952-04,-0.23613960000000023
28,1952-05,-0.019321792857142972
29,1952-06,0.6845797142857144
30,1952-07,0.6810976642857138
31,1952-08,1.2351826499999992
32,1952-09,1.4262171642857147
33,1952-10,0.9793416999999998
34,1952-11,0.85253065
35,1952-12,0.8976733071428572
36,1953-01,0.40416162142857104
37,1953-02,0.03561009999999998
38,1953-03,0.2640199857142851
39,1953-04,0.10055740000000002
40,1953-05,0.3235112071428571
41,1953-06,0.3816187142857143
42,1953-07,0.34334266428571425
43,1953-08,-0.30624835000000106
44,1953-09,-0.20182683571428583
45,1953-10,-0.37655530000000037
46,1953-11,-0.2555093500000001
47,1953-12,-0.33609469285714266
48,1954-01,0.22223662142857092
49,1954-02,0.05242809999999998
50,1954-03,0.32447098571428534
51,1954-04,-0.017699600000000038
52,1954-05,0.3547572071428572
53,1954-06,0.5681767142857144
54,1954-07,0.996467664285714
55,1954-08,0.6511296499999988
56,1954-09,0.23216216428571412
57,1954-10,-0.21629030000000027
58,1954-11,-0.54397835
59,1954-12,0.03502530714285712
60,1955-01,-0.085241378571429
61,1955-02,0.6682530999999998
62,1955-03,1.0389479857142854
63,1955-04,0.8282634
64,1955-05,0.44518820714285706
65,1955-06,0.42105571428571437
66,1955-07,0.4497536642857143
67,1955-08,0.21801064999999875
68,1955-09,0.0046111642857140644
69,1955-10,0.04423469999999963
70,1955-11,1.01855465
71,1955-12,0.8724683071428572
72,1956-01,0.5822096214285709
73,1956-02,0.8841700999999997
74,1956-03,0.8606889857142854
75,1956-04,1.1057194
76,1956-05,0.5083962071428572
77,1956-06,0.20872871428571432
78,1956-07,0.3602126642857142
79,1956-08,0.6491036499999994
80,1956-09,0.646805164285714
81,1956-10,0.6853116999999997
82,1956-11,0.6825686499999999
83,1956-12,0.16771830714285718
84,1957-01,0.018077621428570945
85,1957-02,-0.18565890000000018
86,1957-03,0.18781098571428512
87,1957-04,0.3540474
88,1957-05,0.05705820714285714
89,1957-06,0.05372171428571432
90,1957-07,0.2986246642857142
91,1957-08,0.5922876499999989
92,1957-09,0.5814701642857139
93,1957-10,0.43501069999999964
94,1957-11,-0.09738935000000001
95,1957-12,-0.32337569285714296
96,1958-01,-0.6338023785714288
97,1958-02,0.1570240999999999
98,1958-03,0.5603809857142854
99,1958-04,0.5903463999999998
100,1958-05,0.3373262071428571
101,1958-06,0.49195371428571427
102,1958-07,0.540737664285714
103,1958-08,0.4291986499999987
104,1958-09,0.3058611642857141
105,1958-10,-0.11219630000000047
106,1958-11,0.20085365
107,1958-12,-0.0950176928571429
108,1959-01,0.08749362142857087
109,1959-02,-0.05509490000000006
110,1959-03,-0.4772520142857146
111,1959-04,-0.19084860000000003
112,1959-05,0.26132620714285715
113,1959-06,-0.19181628571428566
114,1959-07,-0.10408233571428593
115,1959-08,0.153704649999999
116,1959-09,0.07311516428571396
117,1959-10,-0.30824030000000036
118,1959-11,-0.4474843500000001
119,1959-12,-0.5919976928571429
120,1960-01,-0.247804378571429
121,1960-02,-0.43697090000000016
122,1960-03,0.5337199857142854
123,1960-04,0.14533740000000006
124,1960-05,0.07240820714285712
125,1960-06,-0.27359328571428565
126,1960-07,-0.015640335714286024
127,1960-08,0.3978836499999989
128,1960-09,0.014964164285714343
129,1960-10,0.20741169999999953
130,1960-11,0.05245264999999999
131,1960-12,-0.6193666928571429
132,1961-01,-0.45977137857142947
133,1961-02,-0.6776009000000001
134,1961-03,-0.40031801428571456
135,1961-04,-0.06745760000000023
136,1961-05,0.2364722071428571
137,1961-06,0.047275714285714365
138,1961-07,0.15018766428571428
139,1961-08,0.03105564999999899
140,1961-09,-0.5154868357142859
141,1961-10,-0.6904443000000005
142,1961-11,-0.19548835
143,1961-12,0.23224830714285716
144,1962-01,-0.3140713785714293
145,1962-02,-0.5304939000000004
146,1962-03,-0.2504740142857147
147,1962-04,-0.18347860000000016
148,1962-05,0.14979720714285716
149,1962-06,-0.058858285714285696
150,1962-07,0.0199536642857141
151,1962-08,-0.3899753500000007
152,1962-09,-0.42764783571428566
153,1962-10,-0.3098443000000004
154,1962-11,-0.19977435000000002
155,1962-12,0.06226630714285708
156,1963-01,0.31098862142857087
157,1963-02,-0.26419990000000015
158,1963-03,0.3107739857142853
159,1963-04,0.04665340000000007
160,1963-05,-0.08415779285714287
161,1963-06,-0.22955628571428566
162,1963-07,-0.5553853357142859
163,1963-08,-0.832452350000001
164,1963-09,-0.7674878357142858
165,1963-10,-0.7633093000000004
166,1963-11,-0.71886335
167,1963-12,-0.09199469285714268
168,1964-01,0.1905076214285708
169,1964-02,0.2963290999999997
170,1964-03,0.6448179857142853
171,1964-04,0.3233653999999999
