,datetime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,2001-01,-1.7122383,-1.0286751,-1.2589607,4.0044746,2.4806767,0.80002785,-4.5619125,-4.6185303,-1.742979,0.90309334,2.9919987,1.6038799,-4.9900837,-1.4198036,-1.5204773,-1.0321236,0.94604874,3.3337212,0.61166954,0.42827034,-8.035338,5.562681,-3.878645,-0.48260307,-3.3430748,1.3722,1.3492813,1.3257427
1,2001-02,-4.0902557,-0.13398361,-1.1092739,2.5485115,-2.8559437,-1.6717892,2.356163,-7.004301,-1.5795383,0.997839,3.449007,-0.047758102,0.02620697,-0.461277,-3.4701767,-0.09464264,-1.3308563,1.7601223,2.8692474,3.8863697,-5.632409,4.9256973,-1.0479069,-3.2053165,-1.4628506,-1.4805908,5.2393093,-0.072668076
2,2001-03,1.549715,3.5274296,0.38019753,0.7568016,-2.6163464,2.396635,2.9872456,-4.328061,-0.9672928,2.7140102,1.6842098,2.0125465,-2.9127445,-0.917963,2.4148273,-1.0451756,-1.246376,5.027405,-0.03297615,2.0365868,-1.7961426,4.48707,-2.5012321,-2.859602,1.0112896,-0.40382767,1.0432701,-1.8341408
3,2001-04,-0.17409515,0.25884056,1.6114731,0.17648697,-1.551508,3.4763737,-1.3997688,-0.29853058,0.83553696,0.32368088,3.3144455,1.0991325,-1.4482422,0.033296585,2.240532,-1.4273491,0.23915291,1.794445,-0.19766808,0.3363781,-1.3262215,1.1744709,-5.4876785,-2.2102156,-2.0220966,0.732563,-0.5681095,-2.2176704
4,2001-05,1.6262817,-2.8243532,0.73685265,-1.9445744,-1.1081944,0.122535706,-1.6863728,1.0508747,-2.19553,0.42045975,-0.062885284,0.9517784,0.9799862,1.2885933,0.08498955,-1.7427559,2.4918995,2.7465343,1.8688259,-0.7010765,0.29966354,0.5316448,-0.97227097,-0.7699928,0.10709381,-2.2563381,-0.8791599,1.7011929
5,2001-06,0.7512474,-0.5084686,-1.1358871,-1.2145958,-2.0891724,0.14962769,-2.12632,3.0505066,-2.8606071,2.1990337,1.1518822,-0.0890255,0.5948181,-0.9641323,-3.2467556,-0.80981255,-0.9691696,0.6694393,1.0593281,-1.2833805,-0.38000488,1.6044712,-1.4681778,0.054693222,-2.044695,-2.8505325,2.142374,-1.2825127
6,2001-07,1.4748726,-0.5578861,0.8929024,0.1495533,0.5777836,0.691906,-0.22165298,-1.2544956,-0.8140297,-0.92991257,1.3816795,-0.38237572,-1.0092926,-0.49220467,-2.171383,-0.43600464,0.6747074,2.6163807,2.4622116,0.44112396,-0.22893524,-0.029449463,-0.51877785,-0.22743988,-0.35338402,-0.521883,2.2342644,-0.58566856
7,2001-08,1.0664635,-0.6281605,-0.4432087,-1.0385647,-0.9178009,-0.2490902,-0.5967884,0.21453285,-0.6982899,-1.5303478,0.9428959,0.66921234,0.5239849,-0.85430336,-0.32141876,0.27449226,-0.50889015,1.4944763,-0.815897,0.39880562,-0.5865669,0.42614365,-0.6645336,1.4876556,1.0126896,-1.5567474,0.7546196,-0.87179756
8,2001-09,0.6982765,0.17472458,-0.648798,0.8820362,-1.7763996,0.8821621,-0.42565155,-0.1668129,1.9413338,-0.063531876,0.009426117,0.13869667,-1.3428116,-1.455246,-0.5996494,-2.2975864,0.35463715,0.6466656,0.11633873,-1.3745918,-1.9287682,0.26791573,0.053792953,-1.3261604,0.5709095,-0.6323414,-1.6346455,-1.1230545
9,2001-10,0.5652199,-1.1841545,-1.7427025,0.2322216,0.7765446,-0.63468933,0.20020294,2.2130814,-0.47780037,-1.824791,1.0222492,-0.54532623,-0.02202034,0.4262066,3.2635498,0.0007534027,-0.7661896,0.52856255,-0.8849659,0.88495445,0.33465195,1.4002209,-0.53517723,1.2519245,0.18812752,-1.7745895,0.13064384,-1.2610512
10,2001-11,0.85704994,0.14765358,-0.6997185,0.2561493,-1.258585,0.9368248,0.64541817,0.7503891,1.6065006,-0.39997864,1.1269875,0.0019207001,-1.0622654,0.9271889,-0.025053024,3.3341866,-0.435524,0.16209602,-2.8692436,0.42682076,0.37428284,-0.5048828,-1.7003746,-0.092206955,2.9026833,1.7319508,0.05352974,0.14086723
11,2001-12,-1.1457233,-0.17440033,-2.8661366,0.9994049,-1.4817238,0.95288086,-0.753458,0.072589874,2.4567223,2.0179157,0.44120216,1.5119152,-0.85702896,-0.65151024,-2.1033573,3.7064037,-0.91138077,1.142376,-1.7557125,-2.7458744,1.2586708,3.5669918,0.6667156,-1.6480179,0.28025055,2.108036,-0.09066391,2.3642006
12,2002-01,0.68395805,-1.6007748,-1.9493256,2.8150063,0.08497238,-0.578825,-1.1717224,1.2675686,2.4655647,-0.07816887,2.2551575,0.60663223,-0.8757477,-0.5921345,-0.79146194,3.3115368,-1.787344,1.9195766,-1.7108631,2.6233482,-2.8126411,-2.1967087,0.4620285,-4.853813,-1.430809,-2.1495514,-2.8240662,0.5829811
13,2002-02,-4.48713,-0.45537567,0.5883007,-2.56604,0.2444973,1.41395,2.130724,-0.6814976,-0.47592163,-0.048440933,1.820446,2.5973911,0.61260414,-3.639326,-0.6281204,1.60042,2.1939316,-1.9715042,1.7029419,-0.9586296,1.5283432,-2.175148,0.7157841,-14.621393,2.5444927,1.4715443,0.22517204,2.3282452
14,2002-03,-1.4039936,1.3927326,-1.9425201,-1.5385056,-1.3743382,3.3561687,-0.052999496,-0.78513336,-2.2486439,-4.2285767,-1.9069386,2.5268402,-3.5047464,-6.1303415,-2.1797714,-2.4703426,0.5635166,3.702032,-0.31683922,-1.513298,-1.9393883,-0.42770004,-2.1101894,-5.013386,4.426487,0.23973083,3.2226772,-1.488802
15,2002-04,-0.7108021,-1.019619,2.2075958,-0.6927414,-0.36893272,-0.6277981,1.8054466,1.1601295,0.031974792,-2.6413307,-1.860836,0.57836723,-1.9154758,0.19836235,-0.70928,1.5725441,-3.0986872,0.24541283,0.6862793,-0.2206955,-0.47008324,-2.276661,1.3578243,2.8345222,3.3223515,-2.9437113,1.5024033,0.7763386
16,2002-05,-0.65855026,-2.0476017,1.7767487,-0.18629265,-0.013900757,-0.8569565,0.3019371,-0.44299507,0.79001427,-0.78647995,0.86398125,0.750967,-0.18619919,1.998766,-1.35466,-0.7995224,0.5800514,2.105095,-1.5162544,0.4328289,1.1658058,-1.2364006,-0.081480026,1.4146214,1.3859425,-2.7575169,-1.4856129,1.6917286
17,2002-06,-0.3488369,-1.9514866,0.0667572,-1.6523113,1.6193352,2.3402786,0.4978962,2.2278519,-1.2586613,-0.8455486,3.6114483,0.8435402,0.08134079,0.18944359,-0.5214577,0.8660221,-1.6955681,3.7015648,-1.1079121,0.62516403,3.5001373,-1.0070248,0.6811638,0.8895588,0.7762432,-1.7864933,1.6015549,0.05539131
18,2002-07,-2.4218025,0.32884598,1.8225231,1.1737804,0.80685806,1.3370018,-2.533764,1.815958,0.11343956,-0.5566063,2.1518517,2.206232,0.273489,-0.1361885,-1.2567081,-0.020133972,1.2015591,0.3621254,0.24991417,1.3212109,2.1994514,0.27465057,-0.7030525,0.20267677,2.8639946,0.37215805,1.7554493,-0.4583454
19,2002-08,1.3444691,-1.6990356,1.3494396,2.11018,0.56254387,2.0455513,-0.88015175,-0.06994057,1.4540291,-1.2808971,1.3353615,1.1958694,2.1994076,0.7420311,0.34690666,0.2400856,0.7153473,0.3773613,0.8313408,2.0443783,1.2664108,-0.68032455,1.2014351,1.516882,1.6366806,-1.4129105,0.54016304,0.9447689
20,2002-09,0.66786957,0.34928322,-0.30621338,0.731905,1.7962017,-0.124118805,-1.1676178,0.585701,0.19345284,-1.0759335,-1.4022713,1.1154099,1.9239655,-0.5370827,-0.88256073,0.30563927,-0.002380371,0.5873127,0.5791416,1.145668,-0.9199333,-0.8990021,1.2179623,1.2499199,-0.42081833,0.56840134,-1.867773,-1.3704624
21,2002-10,1.1896954,-0.26870346,0.20674515,-0.12503052,-0.05072975,-0.48433495,0.4493866,0.41111565,1.4175777,-0.69999886,-0.73389816,0.7661953,2.727993,1.326191,-1.147047,0.6437912,0.3230362,-2.2757692,0.09187508,1.8980846,1.5470066,-2.390314,1.4087639,2.0817127,1.4023895,-2.564166,0.8585777,0.17237854
22,2002-11,1.2645931,0.05896187,1.5871754,1.7178917,0.8539505,1.843914,0.4939022,1.3119335,0.9493351,-0.2897091,-0.22658157,1.2654133,2.0199757,3.8258286,-0.4045143,1.0436878,-2.6283646,-1.1552601,-0.7569618,-0.2354374,-1.4794159,-1.5261974,-0.47976685,1.5170898,-2.7441425,-0.46275902,-0.6798668,-0.24179459
23,2002-12,-0.3486271,0.1614685,0.07949638,2.1253319,-1.1361141,-0.40852165,2.0017014,2.0608978,2.0886707,-2.4062805,-2.6896896,0.60895157,1.0882263,0.48208237,-2.9647293,-3.4600697,4.495638,-1.4699726,0.12107849,1.9993572,1.131113,-1.5243931,0.5869026,2.047781,1.0295658,-2.1839867,0.20524406,-0.93699265
24,2003-01,-1.1794128,-0.7527962,1.3100986,3.115059,3.2639065,2.0410423,0.07741928,-0.2185421,0.4012413,1.1666718,1.2715816,0.92598915,0.95856476,0.52643013,0.28189278,0.7235966,3.6639042,-6.286415,-0.9526539,-1.4313717,0.81482124,-1.217577,2.201994,3.5394,2.1947765,0.9107723,-4.2460327,-0.29413795
