,datetime,Obs
395,1982-12,
396,1983-01,
397,1983-02,
398,1983-03,
399,1983-04,
400,1983-05,
401,1983-06,
402,1983-07,
403,1983-08,
404,1983-09,
405,1983-10,
406,1983-11,
407,1983-12,
408,1984-01,
409,1984-02,
410,1984-03,
411,1984-04,
412,1984-05,
413,1984-06,
414,1984-07,
415,1984-08,
416,1984-09,
417,1984-10,
418,1984-11,
419,1984-12,
420,1985-01,
421,1985-02,
422,1985-03,
423,1985-04,
424,1985-05,
425,1985-06,
426,1985-07,
427,1985-08,
428,1985-09,
429,1985-10,
430,1985-11,
431,1985-12,
432,1986-01,
433,1986-02,
434,1986-03,
435,1986-04,
436,1986-05,
437,1986-06,
438,1986-07,
439,1986-08,
440,1986-09,
441,1986-10,
442,1986-11,
443,1986-12,
444,1987-01,
445,1987-02,
446,1987-03,
447,1987-04,
448,1987-05,
449,1987-06,
450,1987-07,
451,1987-08,
452,1987-09,
453,1987-10,
454,1987-11,
455,1987-12,
456,1988-01,
457,1988-02,
458,1988-03,
459,1988-04,
460,1988-05,
461,1988-06,
462,1988-07,
463,1988-08,
464,1988-09,
465,1988-10,
466,1988-11,
467,1988-12,
468,1989-01,
469,1989-02,
470,1989-03,
471,1989-04,
472,1989-05,
473,1989-06,
474,1989-07,
475,1989-08,
476,1989-09,
477,1989-10,
478,1989-11,
479,1989-12,
480,1990-01,
481,1990-02,
482,1990-03,
483,1990-04,
484,1990-05,
485,1990-06,
486,1990-07,
487,1990-08,
488,1990-09,
489,1990-10,
490,1990-11,
491,1990-12,
492,1991-01,
493,1991-02,
494,1991-03,
495,1991-04,
496,1991-05,
497,1991-06,
498,1991-07,
499,1991-08,
500,1991-09,
501,1991-10,
502,1991-11,
503,1991-12,
504,1992-01,
505,1992-02,
506,1992-03,
507,1992-04,
508,1992-05,
509,1992-06,
510,1992-07,-0.1682672166493333
511,1992-08,-0.038020467008923475
512,1992-09,
513,1992-10,
514,1992-11,
515,1992-12,
